ACC,ARI,NMI,SC,dataset,method,seed,train_batch_size,learning_rate,K
51.6182572614108,37.128000164247474,58.81311509380141,0.16556858,DSTC11_development,SCCL,0,128,1e-05,23
44.89626556016598,30.24673435308228,59.98604357677273,0.1621207147836685,DSTC11_development,SCCL,1,128,1e-05,42
46.39004149377593,33.374468919247576,57.101945747547234,0.1626701951026916,DSTC11_development,SCCL,2,128,1e-05,29
52.61410788381743,38.77199174767926,58.52589589102571,0.1697243899106979,DSTC11_development,SCCL,10,128,1e-05,25
45.22821576763486,30.217622064626777,59.84536729720317,0.1621025800704956,DSTC11_development,SCCL,3,128,1e-05,43
53.02904564315353,38.40223237635579,60.80850667534209,0.1624023616313934,DSTC11_development,SCCL,11,128,1e-05,26
48.04979253112033,35.274342021937095,61.1480384683541,0.1672360748052597,DSTC11_development,SCCL,4,128,1e-05,42
51.203319502074685,37.54325771162877,60.46758382044955,0.1703434288501739,DSTC11_development,SCCL,12,128,1e-05,32
47.13692946058091,32.31019328538094,60.32954434037675,0.1584864258766174,DSTC11_development,SCCL,5,128,1e-05,36
41.57676348547718,27.38883547078129,60.60208822788022,0.1602403819561004,DSTC11_development,SCCL,13,128,1e-05,50
48.38174273858921,35.524335452231384,57.832191165297886,0.1616526693105697,DSTC11_development,SCCL,14,128,1e-05,23
53.52697095435685,39.89997674329615,60.38073845210285,0.1630831956863403,DSTC11_development,SCCL,15,128,1e-05,25
51.203319502074685,37.54325771162877,60.46758382044955,0.17034342885017395,DSTC11_development,SCCL,12,128,1e-05,32
